BCS-1B | C101 | F-101 | 1 | 9AM-12PM
BBA-6A | C107 | C-210 | 3 | 9AM-12PM
BCS-7D | C108 | F-101 | 3 | 1:30PM-4:30PM
BSE-8C | C104 | A-105 | 3 | 4:30-6:30
BBA-1A | C101 | F-203 | 4 | 9AM-12PM
BCS-4B | C102 | C-210 | 4 | 1:30PM-4:30PM
BSE-3A | C103 | B-301 | 4 | 4:30-6:30
BBA-5C | C107 | D-115 | 5 | 9AM-12PM
BCS-6A | C106 | A-105 | 5 | 1:30PM-4:30PM
BSE-7B | C109 | E-220 | 5 | 4:30-6:30
BBA-8A | C110 | G-410 | 6 | 9AM-12PM
BCS-1C | C101 | F-101 | 6 | 1:30PM-4:30PM
BSE-2D | C102 | E-220 | 6 | 4:30-6:30
BBA-3B | C110 | G-410 | 7 | 9AM-12PM
BSE-3C | C110 | G-410 | 7 | 1:30PM-4:30PM
BCS-1B | C101 | F-101 | 1 | 9AM-12PM
BCS-2A | C102 | F-203 | 1 | 1:30PM-4:30PM
BCS-2E | C103 | A-105 | 1 | 4:30-6:30
BCS-3C | C104 | C-210 | 2 | 9AM-12PM
BSE-4A | C105 | B-301 | 2 | 1:30PM-4:30PM
BSE-5B | C106 | D-115 | 2 | 4:30-6:30
BBA-6A | C107 | C-210 | 3 | 9AM-12PM
BCS-7D | C108 | F-101 | 3 | 1:30PM-4:30PM
BSE-8C | C104 | A-105 | 3 | 4:30-6:30
BBA-1A | C101 | F-203 | 4 | 9AM-12PM
BCS-4B | C102 | C-210 | 4 | 1:30PM-4:30PM
BSE-3A | C103 | B-301 | 4 | 4:30-6:30
BBA-5C | C107 | D-115 | 5 | 9AM-12PM
BCS-6A | C106 | A-105 | 5 | 1:30PM-4:30PM
BSE-7B | C109 | E-220 | 5 | 4:30-6:30
BBA-8A | C110 | G-410 | 6 | 9AM-12PM
BCS-1C | C101 | F-101 | 6 | 1:30PM-4:30PM
BSE-2D | C102 | E-220 | 6 | 4:30-6:30
BBA-3B | C110 | G-410 | 7 | 9AM-12PM
BSE-3C | C110 | G-410 | 7 | 1:30PM-4:30PM
BCS-1B | C101 | F-101 | 1 | 9AM-12PM
BCS-2A | C102 | F-203 | 1 | 1:30PM-4:30PM
BCS-2E | C103 | A-105 | 1 | 4:30-6:30
BCS-3C | C104 | C-210 | 2 | 9AM-12PM
BSE-4A | C105 | B-301 | 2 | 1:30PM-4:30PM
BSE-5B | C106 | D-115 | 2 | 4:30-6:30
BBA-6A | C107 | C-210 | 3 | 9AM-12PM
BCS-7D | C108 | F-101 | 3 | 1:30PM-4:30PM
BSE-8C | C104 | A-105 | 3 | 4:30-6:30
BBA-1A | C101 | F-203 | 4 | 9AM-12PM
BCS-4B | C102 | C-210 | 4 | 1:30PM-4:30PM
BSE-3A | C103 | B-301 | 4 | 4:30-6:30
BBA-5C | C107 | D-115 | 5 | 9AM-12PM
BCS-6A | C106 | A-105 | 5 | 1:30PM-4:30PM
BSE-7B | C109 | E-220 | 5 | 4:30-6:30
BBA-8A | C110 | G-410 | 6 | 9AM-12PM
BCS-1C | C101 | F-101 | 6 | 1:30PM-4:30PM
BSE-2D | C102 | E-220 | 6 | 4:30-6:30
BBA-3B | C110 | G-410 | 7 | 9AM-12PM
BSE-3C | C110 | G-410 | 7 | 1:30PM-4:30PM
BCS-1B | C101 | F-101 | 1 | 9AM-12PM
BCS-2A | C102 | F-203 | 1 | 1:30PM-4:30PM
BCS-2E | C103 | A-105 | 1 | 4:30-6:30
BCS-3C | C104 | C-210 | 2 | 9AM-12PM
BSE-4A | C105 | B-301 | 2 | 1:30PM-4:30PM
BSE-5B | C106 | D-115 | 2 | 4:30-6:30
BBA-6A | C107 | C-210 | 3 | 9AM-12PM
BCS-7D | C108 | F-101 | 3 | 1:30PM-4:30PM
BSE-8C | C104 | A-105 | 3 | 4:30-6:30
BBA-1A | C101 | F-203 | 4 | 9AM-12PM
BCS-4B | C102 | C-210 | 4 | 1:30PM-4:30PM
BSE-3A | C103 | B-301 | 4 | 4:30-6:30
BBA-5C | C107 | D-115 | 5 | 9AM-12PM
BCS-6A | C106 | A-105 | 5 | 1:30PM-4:30PM
BSE-7B | C109 | E-220 | 5 | 4:30-6:30
BBA-8A | C110 | G-410 | 6 | 9AM-12PM
BCS-1C | C101 | F-101 | 6 | 1:30PM-4:30PM
BSE-2D | C102 | E-220 | 6 | 4:30-6:30
BBA-3B | C110 | G-410 | 7 | 9AM-12PM
BSE-3C | C110 | G-410 | 7 | 1:30PM-4:30PM
BCS-1B | C101 | F-101 | 1 | 9AM-12PM
BCS-2A | C102 | F-203 | 1 | 1:30PM-4:30PM
BCS-2E | C103 | A-105 | 1 | 4:30-6:30
BCS-3C | C104 | C-210 | 2 | 9AM-12PM
BSE-4A | C105 | B-301 | 2 | 1:30PM-4:30PM
BSE-5B | C106 | D-115 | 2 | 4:30-6:30
BBA-6A | C107 | C-210 | 3 | 9AM-12PM
BCS-7D | C108 | F-101 | 3 | 1:30PM-4:30PM
BSE-8C | C104 | A-105 | 3 | 4:30-6:30
BBA-1A | C101 | F-203 | 4 | 9AM-12PM
BCS-4B | C102 | C-210 | 4 | 1:30PM-4:30PM
BSE-3A | C103 | B-301 | 4 | 4:30-6:30
BBA-5C | C107 | D-115 | 5 | 9AM-12PM
BCS-6A | C106 | A-105 | 5 | 1:30PM-4:30PM
BSE-7B | C109 | E-220 | 5 | 4:30-6:30
BBA-8A | C110 | G-410 | 6 | 9AM-12PM
BCS-1C | C101 | F-101 | 6 | 1:30PM-4:30PM
BSE-2D | C102 | E-220 | 6 | 4:30-6:30
BBA-3B | C110 | G-410 | 7 | 9AM-12PM
BSE-3C | C110 | G-410 | 7 | 1:30PM-4:30PM
